Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
07-FEB-2025,13127.95,13167.05,13022.2,13092.85,1677888471,56914.19
10-FEB-2025,13087.8,13100.75,12904.3,12943.05,1075615098,45352.03
11-FEB-2025,12944.65,12949.65,12659.25,12712.75,1299440500,54511.31
12-FEB-2025,12699.3,12755.55,12496.15,12697.25,1897060037,62195.38
13-FEB-2025,12709.85,12829.8,12676.85,12700.8,1658152602,52459.15
14-FEB-2025,12739.45,12753.8,12476.85,12569.35,1500376676,48187.64
17-FEB-2025,12498.45,12595.65,12406.3,12585.5,1424504019,44722.4
18-FEB-2025,12593.1,12611.85,12483.25,12576.15,1245530728,43877.43
19-FEB-2025,12516.55,12674,12487.4,12624.75,1284212701,48489.69
20-FEB-2025,12570.8,12674.6,12565.55,12670.15,1124458905,46600.08
21-FEB-2025,12644.25,12699,12538.35,12580.35,1337590363,49814.03
24-FEB-2025,12471.25,12493,12422.7,12447,1065893108,42845.18
25-FEB-2025,12432.25,12492.95,12400.3,12418.65,1051057949,47173.08
27-FEB-2025,12430.75,12452.4,12356.9,12377.95,1432352776,60962.22
28-FEB-2025,12303.95,12312.9,12086.3,12116.15,2417927727,107540.96
03-MAR-2025,12150.65,12193.55,12007.05,12134.65,1765356615,59470.06
04-MAR-2025,12041.6,12152.45,12013.55,12131.4,1557208615,53457.29
05-MAR-2025,12121.6,12335.15,12121.6,12320.75,1616256941,63220.92
06-MAR-2025,12414.25,12438.4,12307.9,12427.45,1469994977,59135.73
